event_id,sample_id,published_at,primary_entity,event_type,direction,event_summary,evidence_excerpt,duplicate_event_key
EVT-019,EX39-0158,2026-08-18 10:33:00,芯原股份,ORDER_DEMAND,POSITIVE,AI算力订单占新签订单九成,锋龙股份(002931.SZ)2026年中报净利润为-201.51万元，由盈转亏,芯原股份|ORDER_DEMAND|20260817
EVT-020,EX39-0158,2026-08-18 10:33:00,芯原股份,EARNINGS_CHANGE,NEGATIVE,上半年收入增长但仍持续亏损,锋龙股份(002931.SZ)2026年中报净利润为-201.51万元，由盈转亏,芯原股份|EARNINGS_CHANGE|2026H1
EVT-021,EX39-0178,2026-08-18 10:47:00,瑞芯微,EARNINGS_CHANGE,POSITIVE,上半年收入和利润增长,瑞芯微上半年净利润同比增长近62% 多措并举全力保供,瑞芯微|EARNINGS_CHANGE|2026H1
EVT-022,EX39-0178,2026-08-18 10:47:00,半导体供应链,SUPPLY_DISRUPTION,NEGATIVE,存储和多类上游材料供应承压,瑞芯微上半年净利润同比增长近62% 多措并举全力保供,半导体供应链|SUPPLY_DISRUPTION|2026H1
EVT-023,EX39-0193,2026-08-18 11:49:00,芯原股份,ORDER_DEMAND,POSITIVE,AI算力订单占新签订单九成,狂揽订单151亿，半导体IP龙头芯原股份仍陷亏损，一边股权激励员工一边遭老股东减持,芯原股份|ORDER_DEMAND|20260817
EVT-024,EX39-0193,2026-08-18 11:49:00,芯原股份,EARNINGS_CHANGE,NEGATIVE,上半年收入增长但仍持续亏损,狂揽订单151亿，半导体IP龙头芯原股份仍陷亏损，一边股权激励员工一边遭老股东减持,芯原股份|EARNINGS_CHANGE|2026H1
EVT-025,EX39-0197,2026-08-18 11:52:00,芯原股份,ORDER_DEMAND,POSITIVE,AI算力订单占新签订单九成,芯原股份上半年营收增超9成 预计下半年经调整后EBITDA转正,芯原股份|ORDER_DEMAND|20260817
EVT-026,EX39-0197,2026-08-18 11:52:00,芯原股份,EARNINGS_CHANGE,NEGATIVE,上半年收入增长但仍持续亏损,芯原股份上半年营收增超9成 预计下半年经调整后EBITDA转正,芯原股份|EARNINGS_CHANGE|2026H1
EVT-027,EX39-0213,2026-08-18 12:16:00,远东股份,CAPEX,POSITIVE,AIDC光纤预制棒项目主体封顶并推进设备调试,远东股份“AIDC用全合成光纤预制棒制造”项目主体封顶！,远东股份|CAPEX|20260818
EVT-028,EX39-0249,2026-08-18 14:23:00,传音控股,EARNINGS_CHANGE,POSITIVE,上半年收入和利润增长,文远知行-W午后涨近6% 光大证券维持“买入”评级,传音控股|EARNINGS_CHANGE|2026H1
EVT-029,EX39-0249,2026-08-18 14:23:00,传音控股,CAPITAL_ALLOCATION,AMBIGUOUS,应对存储涨价大幅增加库存和采购付款,文远知行-W午后涨近6% 光大证券维持“买入”评级,传音控股|CAPITAL_ALLOCATION|2026H1
