sample_id,gold_relevance,review_evidence_excerpt,review_reason,predicted_relevance,review_reason_predicted,relevance_evidence
EX39-C195DDA0E883,NOT_CATALYST,星巴克、瑞幸又添“新对手” 京东开无人咖啡店 机器人30秒内出杯,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为京东七鲜咖啡无人咖啡店开业及咖啡行业竞争，涉及机器人、具身智能等泛科技应用，但未涉及科创50指数、科创板或588080相关制度资金事件，也未涉及任何重要成分公司的基本面或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，属于泛机器人、泛先进制造及消费零售新闻，按研究范围应排除。,京东集团旗下七鲜咖啡首家24小时智能化无人咖啡店在北京银河SOHO 开业
EX39-8762B1C9F48F,NOT_CATALYST,法特迪闯关创业板背后：与A股上市公司长川科技、强一股份渊源深厚,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为苏州法特迪科技股份有限公司创业板IPO及与长川科技、强一股份的历史股权渊源，长川科技与强一股份均不在科创50ETF重要成分名单中，法特迪为非重要成分公司且事件为IPO营销/常规公司公告，未涉及科创50指数、科创板资金制度或半导体核心暴露的直接供需、价格、政策、制裁、技术新增事实，故不满足研究范围。,日前，苏州法特迪科技股份有限公司（以下简称法特迪）递交招股书（申报稿，下同），准备在深交所创业板上市。
EX39-34EDE151D172,NOT_CATALYST,离任监事配偶成卖家 先锋新材“叫停”关联交易,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为创业板公司先锋新材（SZ300163）及其子公司与前任监事配偶之间的关联交易补充审议与终止，属于常规公司治理/关联交易公告。全文未涉及科创50指数、科创板、588080产品，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，故不满足研究范围。,先锋新材（SZ300163）发布关于补充审议关联交易的公告，披露了一起因“关联方识别不审慎”而触发的交易风波。
EX39-ACB5D7CB015F,NOT_CATALYST,从探路者到深耕者 外资公募基金的“中国故事”,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主题为外资独资公募基金在华发展历程、增资与产品布局，属于资管行业格局报道；未涉及科创50指数、科创板或588080相关制度资金事件，也未涉及任何重要成分公司的业绩、订单、产能、产品、技术、并购、融资或供应链事实，亦无半导体制造、设备、材料、AI芯片和算力的直接供需、价格、政策、制裁或技术事实。,
EX39-A5073C897DE1,NOT_CATALYST,美国为什么造不出宇树机器人？一家硅谷破产公司的反思,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主题为美国K-Scale公司失败反思及中美机器人产业对比，涉及宇树科技、智元机器人等人形机器人公司，均不属于research_scope给出的重要成分名单；人形机器人出货数据与科创50核心暴露（半导体制造、设备、材料、AI芯片和算力）无直接供需或制度影响，泛机器人关联不成立。,
EX39-ECCBEF998851,NOT_CATALYST,8月以来两融余额回升700多亿元 机构：市场进入情绪修复通道,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为两融余额与市场情绪综述，仅泛化提及电子、AI等板块资金流向和机构观点，未涉及科创50指数、科创板制度资金事件，也未披露任何重要成分公司的业绩、订单、产能、产品、技术、并购、融资或供应链新增事实，属于无新增事实的市场情绪与资金排名类内容，不满足研究范围。,8月以来，沪深北三市两融余额一度连续8个交易日回升，累计反弹超过700亿元。
EX39-3888DE410191,CATALYST_RELEVANT,PCB产业链半年报亮眼 高端产品供需偏紧或延续至2028年,DIRECT_SCOPE_FACT,NOT_CATALYST,文章主题为PCB产业链半年报及高端PCB供需偏紧，涉及公司（一博科技、宏和科技、生益电子、广合科技、东威科技、鹏鼎控股等）均不属于research_scope给出的科创50重要成分名单；PCB虽与AI算力相关，但并非半导体制造、设备、材料、AI芯片和算力的直接供需事实，也未涉及科创板制度或588080产品事件，故不满足研究范围。,近期，多家PCB产业链企业披露2026年半年报，大多数公司营收、净利润实现较快增长。
EX39-1C30FAC983A5,CATALYST_RELEVANT,下游需求持续释放 瑞芯微上半年净利同比增逾六成,DIRECT_SCOPE_FACT,NOT_CATALYST,文章主体为瑞芯微（非科创50重要成分公司）的半年报业绩与供应链情况，未涉及科创50指数、科创板或588080的制度/资金/产品事件，也未涉及名单内重要成分公司的基本面或半导体制造、设备、材料、AI芯片算力的直接供需事实，故不满足研究范围。,8月17日晚，端侧AI芯片龙头瑞芯微披露半年报。
EX39-C5C6E13C06CA,NOT_CATALYST,佳禾食品工业股份有限公司关于使用部分暂时闲置募集资金进行现金管理到期赎回的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为佳禾食品（605300），不属于research_scope中重要成分名单，也不涉及科创板、科创50指数、半导体/AI芯片/算力等核心暴露，仅为闲置募集资金现金管理到期赎回的常规公司公告，与研究标的无直接供需或制度影响。,佳禾食品工业股份有限公司关于使用部分暂时闲置募集资金进行现金管理到期赎回的公告
EX39-FD67352471EE,NOT_CATALYST,光明乳业股份有限公司关于选举公司职工代表董事的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为光明乳业（600597），属于食品饮料行业，与科创50ETF（588080）及其重要成分公司、半导体/AI芯片/算力核心暴露、科创板资金制度环境均无直接关系；内容仅为选举职工代表董事的常规公司公告，不构成研究范围内的新增可验证事实。,证券代码：600597 证券简称：光明乳业 公告编号：临2026-037号 光明乳业股份有限公司 关于选举公司职工代表董事的公告
EX39-B1EE65B8B0F5,NOT_CATALYST,北京九州一轨环境科技股份有限公司董事减持股份结果公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为九州一轨（688485），不属于research_scope中冻结的科创50重要成分名单；事件为董事个人减持结果公告，未涉及半导体、AI芯片、算力等科创50核心暴露的直接供需或制度影响，也未改变重要成分公司基本面或科创板资金制度环境，属于被排除的常规公司公告。,证券代码：688485 证券简称：九州一轨
EX39-A837DC4943E9,CATALYST_RELEVANT,发力AI创新领域 复旦微电上半年净利同比增三倍多,DIRECT_SCOPE_FACT,NOT_CATALYST,新闻主体为复旦微电，该公司不在research_scope给出的重要成分名单中；其半年报业绩、FPGA产品发布、MCU出货等事实均不直接改变科创50ETF重要成分公司基本面或科创板资金制度环境，属于非重要成分公司的常规公司公告，故不满足研究范围。,复旦微电发布半年报。公司上半年实现营业收入约22.25亿元，同比增长21.03%；实现归母净利润约8.49亿元，同比增长338.58%
EX39-FDBBFBDDE411,CATALYST_RELEVANT,存储与逻辑芯片迭代升级 CMP市场迎来新风口,DIRECT_SCOPE_FACT,NOT_CATALYST,文章主题为CMP抛光材料行业趋势与国产化进展，涉及的公司（鼎龙股份、安集科技、上海新阳、江丰电子、长鑫科技等）均不在research_scope给出的重要成分名单中；文中未出现任何科创50重要成分公司的业绩、订单、产能、产品、技术、并购、融资或供应链新增事实，也未涉及科创板或588080的制度、资金、产品事件，属于泛半导体材料行业盘点，与科创50ETF重要产业暴露无直接可验证的新增事实关联。,国内市场方面：安集科技为抛光液行业龙头，全球市占率达到13%，已跻身全球化学机械抛光液主流供应厂商行列；鼎龙股份侧重抛光垫和抛光液协同发展，上海新阳（维权）、江丰电子等紧随其后。
EX39-D0859595DCF2,NOT_CATALYST,山东信通电子股份有限公司关于全资子公司完成工商注册登记的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为山东信通电子股份有限公司（证券代码001388），非科创50ETF重要成分公司，也未涉及科创板制度、资金或半导体/AI芯片核心暴露的直接供需事实；其全资子公司注册登记属于常规公司公告，与research_scope无直接相关性。,证券代码：001388 证券简称：信通电子
EX39-4E434C9A01D7,NOT_CATALYST,数字人民币业务运营机构扩容至30家,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主题为数字人民币业务运营机构扩容，涉及银行类机构与央行数字货币制度，未涉及科创50指数、科创板或588080相关制度资金事件，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，因此不满足研究范围。,中国人民银行8月17日发布公告，新增平安银行、恒丰银行、渤海银行、上海银行、杭州银行、徽商银行、长沙银行、广西北部湾银行成为银行类数字人民币业务运营机构，并接入央行端数字人民币系统。
EX39-4F1E394509E8,NOT_CATALYST,烟台亚通精工机械股份有限公司关于使用暂时闲置募集资金进行现金管理到期赎回的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为亚通精工（603190），不属于科创50ETF重要成分公司名单，事件为使用闲置募集资金进行现金管理到期赎回，与科创板制度、资金环境及半导体/AI芯片等核心暴露无直接供需或制度影响，属于与研究标的无关的常规公司公告。,烟台亚通精工机械股份有限公司关于使用暂时闲置募集资金进行现金管理到期赎回的公告
EX39-A2952D50D495,NOT_CATALYST,硬科技重构A股估值逻辑 长鑫科技总市值突破4万亿元,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章核心主体为长鑫科技（非科创50重要成分名单内公司），内容聚焦其市值突破、存储行业景气与云厂商资本开支，未涉及科创50指数、科创板资金制度或名单内重要成分公司的直接新增事实；存储行业供需讨论虽属半导体范畴，但未直接指向科创50核心暴露的制造、设备、材料、AI芯片公司，故不满足研究范围。,8月17日，国产DRAM（动态随机存取存储器）龙头企业长鑫科技股价创历史新高。
EX39-BD5DAFD46C7F,NOT_CATALYST,纽威数控装备（苏州）股份有限公司关于2026年限制性股票激励计划内幕信息知情人买卖公司股票情况的自查报告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为纽威数控（688697），不在科创50ETF重要成分名单中；内容为股权激励内幕信息知情人自查报告及临时股东会决议，属于常规公司治理公告，未涉及半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，也未改变科创板资金制度环境。,证券代码：688697 证券简称：纽威数控
EX39-7A9D3608F48D,NOT_CATALYST,北京华峰测控技术股份有限公司关于可转债投资者适当性要求的风险提示性公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为华峰测控（688200），不在research_scope重要成分名单中；内容为可转债投资者适当性风险提示，属于常规公司公告，未涉及科创50重要成分公司基本面、半导体/AI芯片算力直接供需或科创板资金制度环境的新增可验证事实。,公司为科创板上市公司，本次向不特定对象发行可转换公司债券，参与可转债转股的投资者，应当符合科创板股票投资者适当性管理要求。
EX39-5244A5FCC22E,NOT_CATALYST,宁波东力股份有限公司2026年半年度报告摘要,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为宁波东力（002164）2026年半年度报告摘要及董事会、审计机构变更公告，该公司不在科创50ETF重要成分名单中，事件也不涉及半导体、AI芯片、算力等科创50核心暴露的直接供需或制度变化，与research_scope无直接相关性。,证券代码：002164 证券简称：宁波东力 公告编号：2026-037
EX39-454C0FCCF131,NOT_CATALYST,宇树科技股份有限公司首次公开发行股票科创板上市公告书提示性公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为宇树科技（688836）科创板IPO上市公告，宇树科技不在research_scope给出的重要成分名单中，且事件为一家非重要成分公司在科创板上市，属于明确排除项；文中未涉及科创50指数、588080产品、重要成分公司基本面或半导体/AI芯片算力供需与制度环境的新增事实。,宇树科技股份有限公司首次公开发行股票科创板上市公告书提示性公告
EX39-DBDC1EEBA8FD,NOT_CATALYST,江苏利柏特股份有限公司2026年第一次临时股东会决议公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为江苏利柏特股份有限公司（605167），属于上交所主板公司，不在科创50ETF重要成分名单内，也未涉及科创板制度、资金或半导体/AI芯片等核心暴露；其员工持股计划属于常规公司公告，与研究范围无关。,证券代码：605167 证券简称：利柏特
EX39-2C525137DDB3,NOT_CATALYST,西藏天路股份有限公司2026年半年度报告摘要,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为西藏天路（600326）2026年半年度报告摘要及董事会决议、新签施工合同公告，公司为建筑类企业，不属于research_scope中科创50重要成分公司名单，也未涉及半导体制造、设备、材料、AI芯片和算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，亦无科创板或588080相关的制度、资金或产品事件，故不满足研究范围。,西藏天路股份有限公司2026年半年度报告摘要
EX39-E49484D4312F,NOT_CATALYST,重庆银行股份有限公司关于召开2026年半年度业绩说明会的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为重庆银行（601963）半年度业绩说明会公告，主体为银行，不属于科创50指数、科创板或588080相关制度/资金/产品事件，也不涉及重要成分公司或半导体、AI芯片、算力等核心暴露，无新增可验证事实。,重庆银行股份有限公司关于召开2026年半年度业绩说明会的公告
EX39-C9E7137CB730,NOT_CATALYST,金禄电子科技股份有限公司关于股东股份变动触及1%整数倍的公告,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为金禄电子（301282），不属于research_scope中冻结的科创50重要成分名单，事件为股东减持触及1%整数倍，与科创50ETF重要产业暴露、重要成分公司基本面或科创板资金制度环境无直接关系，属于被排除的常规公司公告。,金禄电子科技股份有限公司关于股东股份变动触及1%整数倍的公告
EX39-22FE434A8DB6,NOT_CATALYST,直击业绩发布会｜如何实现“向技术要效率、要增长”？平安银行答每经：一边做基础，一边强调应用,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主体为平安银行（000001.SZ）2026年中期业绩发布会内容，涉及银行营收利润、息差管理及AI在银行业务中的应用，未涉及科创50指数、科创板或588080相关制度资金事件，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，属于研究范围排除的常规公司公告与业绩说明会复述。,8月17日，平安银行（000001.SZ，股价11.10元，市值2154亿元）举行2026年中期业绩发布会，对业绩重回增长的驱动因素、如何向技术要效率等问题进行回复。
EX39-EC26E7EAB486,NOT_CATALYST,参赛机器人数量是首届的两倍 2056台机器人将在北京同场竞技,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻内容为第二届世界人形机器人运动会的赛事规模、赛项设置和配套活动介绍，属于泛机器人领域的地方产业活动与赛事报道。研究范围明确排除泛机器人、泛先进制造或地方产业活动，除非明确涉及重要成分公司或直接改变半导体、AI芯片和算力的供需。正文未提及任何重要成分公司，也未涉及半导体、AI芯片或算力的直接供需、价格、政策、制裁或技术事实，因此不满足研究范围。,赛事期间，来自六大洲、16个国家的666支队伍、2056台机器人将同台竞技，为观众带来一场科技盛宴。
EX39-75F3CE88C369,NOT_CATALYST,北京亦庄打造“展研产用”全链路生态网 加速机器人从实验室迈向市场,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章主题为北京亦庄机器人产业生态建设（Robot Mall机器人4S店、未来机域开发者社区、机因工场供应链平台、机器人焰究所餐厅），属于泛机器人、地方产业活动范畴。文中未出现科创50重要成分公司（如睿创微纳、中微公司、寒武纪等）的具体业绩、订单、产能、产品、技术、并购、融资或供应链事实，也未涉及半导体制造、设备、材料、AI芯片和算力的直接供需、价格、政策、制裁或技术事实，与科创50ETF重要产业暴露无直接相关性。,北京亦庄打造“展研产用”全链路生态网 加速机器人从实验室迈向市场
EX39-4B638F915396,NOT_CATALYST,哪款游戏主板值得买 追求极致供电与内存潜力的进阶之选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为消费级游戏主板选购推荐，主体为华硕ROG/TUF主板产品，未涉及科创50指数、科创板或588080相关制度资金事件，也未涉及任何重要成分公司的业绩、订单、产能、产品、技术、并购、融资或供应链事实，亦无半导体制造、设备、材料、AI芯片和算力的直接供需、价格、政策、制裁或技术事实，属于消费电子产品推荐，按exclude规则不构成催化。,当显卡已拉满、CPU正超频、RGB灯效随帧率呼吸，真正决定整机上限的，从来不是单点爆发，而是主板对性能边界的持续托举
EX39-27D8D5886021,NOT_CATALYST,哪款好耳机值得买 面向编曲人低延迟高解析音频体验,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为消费类耳机选购推荐，主体为宝华韦健、荣耀亲选、漫步者、一加等消费电子品牌，未涉及科创50指数、科创板或588080相关制度资金事件，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，属于研究范围明确排除的消费电子产品推荐。,哪款好耳机值得买 面向编曲人低延迟高解析音频体验
EX39-46FAF501A856,NOT_CATALYST,运营商财经网康钊：原中国一重集团副总陆文俊一审被判15年,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章内容为中国一重集团原副总经理陆文俊受贿案一审宣判及个人履历，涉及主体为中国一重、国机重装等重型机械企业，与科创50ETF重要成分公司、半导体/AI芯片算力核心暴露及科创板资金制度环境均无直接关系，属于研究范围排除的常规公司/个人新闻。,"近日，湘潭市中级法院对
中国一重
集团原副总经理陆文俊受贿案作出一审公开宣判，陆文俊获刑15年，并处罚金500万元"
EX39-3E2CFFAC2861,NOT_CATALYST,康恩贝溢价百万元转让配套包装子公司东阳康恩贝，森林包装以5098万元竞得,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,新闻主体为康恩贝（SH600572）转让其包装子公司东阳康恩贝股权，受让方为森林包装。康恩贝与森林包装均不属于research_scope给出的科创50重要成分名单，事件为中药企业剥离非核心包装资产，与半导体制造、设备、材料、AI芯片和算力等科创50核心暴露无直接供需或制度影响，也不涉及科创板资金制度环境，故不满足研究范围。,康恩贝（SH600572，股价4.80元，市值121.8亿元）公告，与森林包装正式签署《东阳市康恩贝印刷包装有限公司100%股权交易合同》
EX39-6E09F4FDFD22,NOT_CATALYST,哪款镜头值得买 面向摄影教师的轻便高质之选,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为摄影镜头选购推荐，主体为消费电子/摄影器材，未涉及科创50指数、科创板制度资金事件，也未涉及任何重要成分公司或半导体、AI芯片、算力等科创50核心暴露的直接供需、价格、政策、制裁或技术事实，属于研究范围明确排除的消费电子产品推荐。,哪款镜头值得买 面向摄影教师的轻便高质之选
EX39-E3C24C888A02,NOT_CATALYST,2026内衣洗洗衣机值得买 温和洗净+长效抑菌+静音运行全满足,OUTSIDE_S005_NEWS_SCOPE_OR_NO_NEW_FACT,NOT_CATALYST,文章为内衣洗洗衣机消费导购，主体为TCL、三星、美的家电产品，未涉及科创50指数、科创板制度资金事件，也未涉及任何重要成分公司或半导体、AI芯片、算力等核心暴露的直接供需、价格、政策、制裁或技术事实。,三款机型横跨不同预算带，却共享同一价值内核：以科学洗护逻辑守护家人肌肤屏障，用静默高效替代传统手洗焦虑。
