sample_id,relevance,review_evidence_excerpt,review_reason
EX38-043,NOT_CATALYST,中国国航(00753)3月旅客周转量同比上升2.0%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-044,CATALYST_RELEVANT,2亿！寒武纪联手台州国资 首次出手股权投资基金,DIRECT_FROZEN_SCOPE_FACT
EX38-045,CATALYST_RELEVANT,仕佳光子拟定增募资28亿元，一半重仓CW激光器芯片项目,DIRECT_FROZEN_SCOPE_FACT
EX38-046,CATALYST_RELEVANT,英唐智控业绩增长困局：净利下滑，半导体芯片布局受挫,DIRECT_FROZEN_SCOPE_FACT
EX38-047,NOT_CATALYST,王伟中在鄂尔多斯市调研时强调 全力打好“三北”工程黄河“几字弯”攻坚战 扎实推动黄河流域生态保护和高质量发展,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-048,CATALYST_RELEVANT,接连押中智谱、傅里叶上市，金山办公一季度大赚超20亿元，超去年全年净利,DIRECT_FROZEN_SCOPE_FACT
EX38-049,NOT_CATALYST,快手KAT-Dev代码模型开源登顶，科创AIETF(588790)回调蓄势，合合信息领涨,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-050,NOT_CATALYST,西部矿业成功发行全国首单支持西部大开发高成长产业债券,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-051,CATALYST_RELEVANT,宏微科技：2024年亏损1446.73万元,DIRECT_FROZEN_SCOPE_FACT
EX38-052,NOT_CATALYST,中建环能：以技术创新赋能环境治理,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-053,NOT_CATALYST,操盘必读：影响股市利好或利空消息_2025年10月15日_财经新闻,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-054,NOT_CATALYST,把防癌服务送到老百姓家门口,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-055,CATALYST_RELEVANT,晶晨股份超500%溢价收购亏损企业 创始人几乎“0”对价退出,DIRECT_FROZEN_SCOPE_FACT
EX38-056,NOT_CATALYST,燕京啤酒2025年赚16.79亿   连续四年净利增幅超50%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-057,CATALYST_RELEVANT,海光信息、中科曙光前三季度业绩双双增长，吸收合并积极推进,DIRECT_FROZEN_SCOPE_FACT
EX38-058,NOT_CATALYST,博世科孙公司签订海外项目 合同预估总价超2.74亿元,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-059,NOT_CATALYST,小商品城第三季度净利润同比增超100%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-060,NOT_CATALYST,创业板指“变脸”，沪指险守红盘！背后一个信号需警惕→,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-061,NOT_CATALYST,V观财报｜年内A股最大IPO！长鑫科技集中回应芯片紧缺、再融资、架构稳定性,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-062,CATALYST_RELEVANT,电科芯片获电科投资增持股比已达1% 后续将继续实施,DIRECT_FROZEN_SCOPE_FACT
EX38-063,NOT_CATALYST,寒武纪牵手商汤科技！股价双双上涨,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-064,NOT_CATALYST,中科寒武纪科技股份有限公司关于召开2025年度业绩说明会的公告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-065,NOT_CATALYST,中再资环：2024年净利润2247.24万元,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-066,NOT_CATALYST,三孚股份2025年归母净利润8030万元，增长25.9%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-067,CATALYST_RELEVANT,海光信息前三季度净利同比增超28% 昂瑞微、优迅股份IPO过会,DIRECT_FROZEN_SCOPE_FACT
EX38-068,NOT_CATALYST,首季净利超去年全年两倍！新冠抗原检测试剂盒海外创收，亚辉龙一季度净利同比预增超10倍,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-069,CATALYST_RELEVANT,佰维存储Q1营收、净利同比双增 AI端侧产品收入猛增四倍 但采购增加拖累现金流,DIRECT_FROZEN_SCOPE_FACT
EX38-070,NOT_CATALYST,杉杉股份：拟定增募资不超60亿元 用于锂电池负极材料一体化基地项目等,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-071,NOT_CATALYST,A股商业航天多股涨停，博云新材3连板，AI芯片股狂飙，沐曦股份涨超13%,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-072,CATALYST_RELEVANT,仕佳光子定增募资不超28亿元 投建高速AWG芯片及光互连组件产能建设等项目,DIRECT_FROZEN_SCOPE_FACT
EX38-073,NOT_CATALYST,赛恩斯环保股份有限公司向不特定对象发行可转换公司债券募集说明书摘要,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-074,NOT_CATALYST,转债到期在即，浦发银行获中国移动转股增持,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-075,NOT_CATALYST,仙鹤股份有限公司关于实施“鹤21转债”赎回暨摘牌的第三次提示性公告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-076,NOT_CATALYST,关于对上海丽人丽妆化妆品股份有限公司采取责令改正措施并对有关责任人员采取出具警示函措施的决定,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-077,NOT_CATALYST,又是信披违规！如意集团遭证监会立案，年报曾被出具保留意见,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-078,NOT_CATALYST,重庆港两全资子公司间拟吸收合并,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-079,CATALYST_RELEVANT,EDA产品收入增长 概伦电子2025年营收、净利创上市以来新高,DIRECT_FROZEN_SCOPE_FACT
EX38-080,CATALYST_RELEVANT,芯原股份(688521.SH)拟联合共同投资人收购逐点半导体控制权,DIRECT_FROZEN_SCOPE_FACT
EX38-081,NOT_CATALYST,新能源车减免购置税要求升级,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-082,NOT_CATALYST,*ST辉丰预计首季亏损收窄  卖子风波下项目归属难测,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-083,NOT_CATALYST,海看股份取得IPTV时段分析相关专利，提供IPTV节目时段分析，助用户高效精准观看,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-084,NOT_CATALYST,中来股份-CMBU太原基地2026年度固废回收处置项目招标公告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-085,NOT_CATALYST,张家港行高层换防！董事长孙伟退居二线，顺位“代行”方案已出,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-086,NOT_CATALYST,西南证券：周期筑底、供需格局边际改善，白卡纸行业景气度持续修复,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-087,NOT_CATALYST,8000亿城商行锦州银行，今日退市！,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-088,NOT_CATALYST,财说| 申昊科技押注算力租赁，账面2.6亿如何撬动20亿采购？,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-089,NOT_CATALYST,净息差降幅居首净利反增5.35％，张家港行逾期贷款四年涨了三倍｜财报异动透视镜,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-090,NOT_CATALYST,江苏恒尚节能科技股份有限公司首次公开发行部分限售股上市流通公告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-091,NOT_CATALYST,80亿元拿下全球顶级铜矿，套保却巨亏49亿元！江西铜业2025年的扩张与失控 ｜ 财报异动透视镜,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-092,CATALYST_RELEVANT,沪电股份：布局高阶PCB产能 深度绑定AI服务器与汽车算力赛道,DIRECT_FROZEN_SCOPE_FACT
EX38-093,NOT_CATALYST,【招聘】西部矿业集团有限公司关于采矿工程师岗位的社会招聘公告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-094,NOT_CATALYST,福日电子2024年业绩下滑显著，现金流及债务状况堪忧,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-095,NOT_CATALYST,首创证券2024年年报：营收净利双增，资产管理业务成亮点,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-096,NOT_CATALYST,国新能源龙虎榜数据（10月15日）,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-097,NOT_CATALYST,入职一年后，赵宇阳“摘牌”分析师资质，东北证券回应,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-098,NOT_CATALYST,北京中科三环高技术股份有限公司 2025年前三季度业绩预告,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-099,NOT_CATALYST,【读财报】6月上市车企销量稳增：奇瑞、比亚迪等出口销量扩容 新能源汽车渗透率持续攀升,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-100,CATALYST_RELEVANT,佰维存储预计上半年归母净利至高75亿元 多家存储企业同步预喜,DIRECT_FROZEN_SCOPE_FACT
EX38-101,NOT_CATALYST,再添文艺新坐标！朱炳仁798艺术馆全新启幕,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-102,NOT_CATALYST,资金回流半导体板块 主题基金快速修复前期回撤,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-103,CATALYST_RELEVANT,容百科技拟投43亿元扩建磷酸铁锂产能 布局52万吨前驱体及34万吨正极材料项目,DIRECT_FROZEN_SCOPE_FACT
EX38-104,CATALYST_RELEVANT,百家机构潜伏“AI芯片设计第一股” 寒武纪去年营收同比增五成,DIRECT_FROZEN_SCOPE_FACT
EX38-105,NOT_CATALYST,“股王”易主乌龙一场？中国移动市值超过贵州茅台存争议,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-106,NOT_CATALYST,上机数控：签订62.04亿元单晶硅片销售合同,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-107,NOT_CATALYST,深信服申请节点故障处理相关专利，及时隔离亚健康副本，避免误隔离问题,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-108,NOT_CATALYST,万科换帅：辛杰辞任，黄力平接棒,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-109,NOT_CATALYST,300多台机器人大战21公里，谁能冲过终点线？,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-110,NOT_CATALYST,4月15日龙虎榜解析：汉缆股份当日净买入额最多,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-111,CATALYST_RELEVANT,耐科装备2024年营收同比激增35.48%，半导体、塑料挤出业务双轮驱动业绩增长,DIRECT_FROZEN_SCOPE_FACT
EX38-112,NOT_CATALYST,80家上市公司披露一季报 净利润同比增速有所改善,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-113,NOT_CATALYST,得润电子子公司深圳柏拉蒂拟增资扩股实施股权激励,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-114,NOT_CATALYST,新里程(002219.SZ)：拟间接收购化二建医院公司65%股权,OUTSIDE_FROZEN_EVENT_SCOPE
EX38-115,CATALYST_RELEVANT,业绩阶段性承压   容百科技豪掷42.98亿元扩产磷酸铁锂,DIRECT_FROZEN_SCOPE_FACT
